0,Q,0
66,Q,0
66,E,67
66,S,71
66,SE,72
67,Q,0
67,E,68
67,W,66
67,S,72
67,SW,71
67,SE,73
68,Q,0
68,W,67
68,E,69
68,S,73
68,SW,72
68,SE,74
69,Q,0
69,W,68
69,E,70
69,S,74
69,SW,73
69,SE,75
70,Q,0
70,W,69
70,S,75
70,SW,74
71,Q,0
71,N,66
71,S,76
71,E,72
71,NE,67
71,SE,77
72,Q,0
72,N,67
72,S,77
72,W,71
72,E,73
72,NW,66
72,NE,68
72,SW,76
72,SE,78
72,U,91
73,Q,0
73,N,68
73,S,78
73,W,72
73,E,74
73,NW,67
73,NE,69
73,SW,77
73,SE,79
73,U,92
74,Q,0
74,N,69
74,S,79
74,W,73
74,E,75
74,NW,68
74,NE,70
74,SW,78
74,SE,80
74,U,93
75,Q,0
75,N,70
75,S,80
75,W,74
75,NW,69
75,SW,79
76,Q,0
76,N,71
76,S,81
76,E,77
76,NE,72
76,SE,77
77,Q,0
77,N,72
77,S,82
77,W,76
77,E,78
77,NW,71
77,NE,73
77,SW,81
77,SE,83
77,U,94
78,Q,0
78,N,73
78,S,83
78,W,77
78,E,79
78,NW,72
78,NE,74
78,SW,82
78,SE,84
78,U,95
79,Q,0
79,N,74
79,S,84
79,W,78
79,E,80
79,NW,73
79,NE,75
79,SW,83
79,SE,85
79,U,96
80,Q,0
80,N,75
80,S,85
80,W,79
80,NW,74
80,SW,84
81,Q,0
81,N,76
81,S,86
81,E,82
81,NE,77
81,SE,87
82,Q,0
82,N,77
82,S,87
82,W,81
82,E,83
82,NW,76
82,NE,78
82,SW,86
82,SE,88
82,U,97
83,Q,0
83,N,78
83,S,88
83,W,82
83,E,84
83,NW,77
83,NE,79
83,SW,87
83,SE,89
83,U,98
84,Q,0
84,N,79
84,S,89
84,W,83
84,E,85
84,NW,78
84,NE,80
84,SW,88
84,SE,90
84,U,99
85,Q,0
85,N,80
85,S,90
85,W,84
85,NW,79
85,SW,89
86,Q,0
86,N,81
86,E,87
86,NE,82
87,Q,0
87,N,82
87,W,86
87,E,88
87,NW,81
87,NE,83
88,Q,0
88,N,83
88,W,87
88,E,89
88,NW,82
88,NE,84
89,Q,0
89,N,84
89,W,88
89,E,90
89,NW,83
89,NE,85
90,Q,0
90,N,85
90,W,89
90,NW,84
91,Q,0
91,S,94
91,E,92
91,SE,95
91,D,72
92,Q,0
92,S,95
92,W,91
92,E,93
92,SW,94
92,SE,96
92,D,73
93,Q,0
93,W,92
93,S,96
93,SW,95
93,D,93
94,Q,0
94,N,91
94,S,97
94,E,95
94,NE,92
94,SE,98
94,D,77
95,Q,0
95,N,92
95,S,98
95,W,94
95,E,96
95,NW,91
95,NE,93
95,SW,97
95,SE,99
95,U,100
95,D,78
96,Q,0
96,N,93
96,S,99
96,W,95
96,NW,92
96,SW,98
96,D,79
97,Q,0
97,N,94
97,E,98
97,NE,95
97,D,82
98,Q,0
98,N,95
98,W,97
98,E,99
98,NW,94
98,NE,96
98,D,83
99,Q,0
99,N,96
99,W,98
99,NW,95
99,D,84
100,Q,0
100,D,95
